Task ID,Sprint,Gate,Task,Description,Input,Action,Output,Evidence,Dependency,Estimated Effort,AI Assistance,Human Validation,Status
OPS-001,S0,G1,Buat akun GitHub dan gabung organisasi riset,Setiap anggota memiliki akun GitHub aktif dan bergabung ke tim @students di organisasi UAI-AI-Research.,Email kampus; undangan organisasi dari dosen pengampu,Buat/aktifkan akun GitHub dengan nama asli; aktifkan 2FA; terima undangan tim; isi profil singkat,Akun GitHub aktif per anggota,Nama akun tercatat di daftar kelas; keanggotaan tim @students terlihat,-,1h,-,Dosen memverifikasi setiap akun milik mahasiswa terdaftar,Planned
OPS-002,S0,G1,Baca Student Weekly Playbook dan AI Research Protocol,"Mahasiswa memahami ritme sprint, 8 gate, dan aturan Think-Ask-Ground-Verify-Challenge-Reproduce-Disclose-Own sebelum mulai.",OPS-05 Student Weekly Playbook; AIX-04 AI Research Protocol; OPS-03 Research Gates,Baca ketiga dokumen; catat 3 pertanyaan; tandatangani AI Research Protocol agreement,Agreement AI Research Protocol tertandatangani,File docs/ai-protocol-agreement.md (atau form kelas) berisi nama dan tanggal,OPS-001,2h,-,Dosen memeriksa agreement ditandatangani semua anggota,Planned
OPS-003,S0,G1,Bentuk tim riset 1-3 orang dan tetapkan peran,"Tim dibentuk dengan peran eksplisit: lead, data/experiment owner, dan documentation/reviewer owner (boleh rangkap bila tim kecil).",Daftar kelas; minat awal tiap mahasiswa,Diskusikan minat; pilih anggota; tulis pembagian peran dan jadwal kerja mingguan; sepakati aturan komunikasi,Team charter 1 halaman,"docs/team.md berisi nama, peran, jadwal, kontak",OPS-001,1h,-,Dosen menyetujui komposisi tim,Planned
OPS-004,S0,G1,Pilih entry door dan kandidat masalah awal,Tim memilih satu dari enam pintu masuk (Problem/Dataset/Faculty Research/Course Project/Partner/Competition) dan 1-3 kandidat masalah dari backlog atau usulan sendiri.,research-backlog/BACKLOG.md; Issues type:problem; AIR-02 klaster; minat tim,Telusuri backlog; diskusikan 1-3 kandidat; tulis alasan memilih pintu masuk; tandai klaster C1-C4 kandidat,Daftar kandidat masalah dengan entry door,docs/endgame.md bagian Entry Door berisi 1-3 kandidat + klaster,OPS-003,2h,Brainstorm variasi kandidat masalah dan pertanyaan klarifikasi; tidak memutuskan pilihan,Tim memutuskan sendiri pilihan pintu masuk; dosen memberi umpan balik,Planned
OPS-005,S0,G1,Buat repositori riset dari template TPL-15,Repositori proj-YYYY-topik dibuat dari template standar dengan struktur folder lengkap.,TPL-15 Research Repository Template; akun GitHub tim; nama topik sementara,Buat repo dari template; cek folder docs/ data/ src/ notebooks/ experiments/ results/ figures/ paper/ presentation/; isi README riset bagian identitas; commit pertama,Repositori riset dengan struktur standar,URL repo; commit awal; README riset berisi nama tim dan Research ID sementara UIAI-YYYY-TBD,OPS-003;OPS-004,1h,Membantu menulis README awal dari template; hasil diperiksa tim,Tim memastikan struktur folder sesuai TPL-15 dan tidak ada data mentah,Planned
OPS-006,S0,G1,Mulai AI Usage Log dan catat penggunaan pertama,AI Usage Log dibuat dari TPL-10 dan dipakai sejak hari pertama untuk setiap penggunaan AI yang memengaruhi pekerjaan.,TPL-10 AI Usage Log Template; repositori riset,"Salin template ke docs/AI-USAGE.md; catat penggunaan AI pada OPS-004/OPS-005 (tool, tanggal, tujuan, output, verifikasi); sepakati kebiasaan mencatat",docs/AI-USAGE.md aktif,Commit docs/AI-USAGE.md berisi minimal 1 entri terverifikasi,OPS-002;OPS-005,1h,-,Setiap anggota memverifikasi entri log miliknya sendiri,Planned
OPS-007,S1,G1,Ikuti sesi Research Mindset dan bedakan proyek vs riset,"Mahasiswa memahami perbedaan project, implementation, engineering, dan research, serta alur research thinking dari fenomena sampai so what.",Materi W1; MET-01 Positioning; AIX-01 Meta-Thinking,Ikuti sesi; kerjakan latihan klasifikasi 5 contoh judul TA (proyek atau riset); tulis refleksi 5 kalimat,Refleksi W1,docs/journal/w01.md berisi klasifikasi dan refleksi,OPS-002,2h,Menguji pemahaman lewat contoh tambahan; jawaban akhir ditulis mahasiswa,Mahasiswa menjelaskan ulang perbedaan tanpa membaca catatan,Planned
OPS-008,S1,G1,"Tetapkan endgame: minimum TA Ready, target Research Ready","Tim menyatakan tujuan akhir riset secara eksplisit: minimum, target, dan aspirasi (paper/dataset/artefak/HKI/produk).",STR-02 Vision & Endgame; kandidat masalah (OPS-004); TPL-01 bagian Endgame,Diskusikan tiga layer outcome; tulis endgame yang realistis untuk 1 semester + TA; sebutkan bentuk output yang dituju,Bagian Endgame di docs/endgame.md,docs/endgame.md berisi minimum/target/aspirasi dan bentuk output,OPS-004;OPS-007,2h,Mengkritik apakah endgame terlalu luas atau terlalu sempit,"Dosen memeriksa endgame memuat klaim pengetahuan, bukan sekadar membuat aplikasi",Planned
OPS-009,S1,G1,Tulis klaim pengetahuan awal yang ingin dibuktikan,Endgame dilengkapi satu kalimat klaim pengetahuan sementara agar riset tidak menjadi sekadar membangun aplikasi X.,docs/endgame.md; alur research thinking,Tulis kalimat 'Kami ingin membuktikan bahwa ___ pada konteks ___'; tandai apa yang masih asumsi,Kalimat klaim awal,docs/endgame.md bagian Initial Claim,OPS-008,1h,Menawarkan alternatif rumusan klaim; tim memilih dan mengeditnya,Tim menandai bagian klaim yang masih asumsi tanpa bukti,Planned
OPS-010,S1,G1,Identifikasi kandidat dosen mentor dan klaster riset,Tim memetakan riset ke klaster C1-C4 dan domain roadmap serta mengidentifikasi 1-2 kandidat mentor.,AIR-02 klaster; AIR-03 Faculty Research Alignment; TPL-07 faculty map; research-roadmap/,Cocokkan kandidat masalah dengan klaster dan domain; lihat peta riset dosen; tulis 1-2 kandidat mentor dengan alasan; kirim pesan permintaan mentor,Daftar kandidat mentor + klaster,docs/endgame.md bagian Cluster & Mentor; bukti pesan/permintaan mentor,OPS-008,1h,-,Dosen pengampu mengonfirmasi kandidat mentor masuk akal,Planned
